Kwartal;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw
III 2017;3 998;3 987;6 065;5 799;3 805;3 653;6 347;4 765;3 762;4 199;4 221;5 433;4 744;4 265;8 020;5 764
IV 2017;4 199;4 004;6 337;5 920;3 698;3 655;6 276;4 879;3 784;4 312;4 285;5 550;4 677;4 316;8 054;5 906
I 2018;4 254;4 102;6 485;6 098;3 981;3 705;6 357;4 782;4 022;4 243;4 371;5 620;4 945;4 375;8 047;5 841
II 2018;4 495;4 181;6 625;6 428;4 018;3 854;6 504;4 939;3 959;4 510;4 609;5 777;4 989;4 555;8 394;6 077
III 2018;4 682;4 430;7 149;6 562;4 204;3 883;6 787;5 001;4 256;4 554;4 818;5 932;5 044;4 781;8 604;6 159
IV 2018;4 712;4 560;7 508;6 743;4 200;3 882;6 892;5 095;4 465;4 804;4 875;6 114;5 106;4 815;8 762;6 191
I 2019;4 896;4 601;7 351;6 810;4 438;3 968;6 912;5 176;4 616;4 823;4 808;6 151;5 546;5 074;8 985;6 267
II 2019;5 069;4 914;7 823;7 081;4 521;4 067;7 286;5 371;4 596;5 049;4 978;6 339;5 697;5 186;9 243;6 482
III 2019;5 315;5 050;7 767;7 297;4 749;4 345;7 404;5 565;4 708;5 171;4 993;6 448;5 708;5 359;9 457;6 858
IV 2019;5 316;5 095;8 364;7 384;4 895;4 453;7 657;5 747;4 870;5 383;5 043;6 664;5 731;5 525;9 813;7 316
I 2020;5 518;5 297;8 387;7 671;5 106;4 578;8 170;5 884;5 011;5 449;5 189;6 832;6 313;5 700;10 003;7 315
II 2020;5 732;5 456;8 504;7 727;5 327;4 774;8 476;6 465;5 245;5 630;5 474;7 013;6 611;5 875;10 288;7 496
III 2020;5 716;5 611;8 935;7 993;5 278;4 770;8 634;6 331;5 613;5 666;5 429;7 137;6 516;6 132;10 470;7 301
